cd,estimate,sd,q025,q975,pop
SC-05,0.77512866,0.01815583,0.7367025,0.8109824,782705.0
SC-06,0.7739962,0.018778922,0.73412645,0.81049836,762971.0
SC-07,0.7775026,0.018027043,0.738978,0.8131813,794116.0
SD-00,0.776581,0.020149909,0.73462254,0.816397,924668.0
TN-01,0.7797085,0.01691206,0.74370635,0.81206256,806544.0
TN-02,0.77285975,0.016944587,0.7370211,0.8057497,813874.0
TN-03,0.778309,0.01674466,0.74278176,0.81032443,809822.0
TN-04,0.77963835,0.016814964,0.74378926,0.8116844,826459.0
TN-05,0.7613181,0.017371695,0.7243773,0.7947728,835178.0
TN-06,0.77736306,0.016829392,0.7417818,0.8094872,803126.0
TN-07,0.7720636,0.016903536,0.736227,0.80470324,816221.0
TN-08,0.77576524,0.016874993,0.7405177,0.80831355,774949.0
TN-09,0.7767264,0.019091425,0.7364352,0.81292045,749913.0
TX-01,0.78165317,0.01507685,0.7519365,0.81175894,795914.0
TX-02,0.7722211,0.015617922,0.74105275,0.80375004,882044.0
TX-03,0.7595756,0.01603107,0.7279244,0.79170156,920586.0
TX-04,0.7662597,0.015676357,0.7350307,0.7978914,874620.0
TX-05,0.78271776,0.015451391,0.75161797,0.81351393,856420.0
TX-06,0.7813659,0.01549448,0.75040376,0.8122267,848544.0
TX-07,0.76116216,0.016469775,0.728957,0.79379,770248.0
TX-08,0.7743506,0.015565926,0.7433381,0.80567914,946784.0
TX-09,0.7767289,0.016807655,0.7430841,0.80929345,822784.0
TX-10,0.7671254,0.015462859,0.73646986,0.79843265,832966.0
TX-11,0.7833955,0.015650235,0.7522272,0.8146773,801997.0
TX-12,0.77647203,0.015188386,0.7463489,0.8072208,852228.0
TX-13,0.7821189,0.015192328,0.7519472,0.8126408,799821.0
TX-14,0.78135604,0.015164394,0.7513593,0.8119485,787853.0
TX-15,0.78699154,0.018006597,0.7501358,0.82171947,812529.0
TX-16,0.7827988,0.018055035,0.7459935,0.81759924,784152.0
TX-17,0.7790223,0.015146432,0.7488305,0.8097334,798332.0
TX-18,0.77941954,0.016497318,0.7461908,0.8115962,825562.0
TX-19,0.7836477,0.0154736135,0.752955,0.81445366,787118.0
TX-20,0.7841949,0.017150864,0.74905884,0.8176452,766762.0
TX-21,0.7618905,0.015671527,0.73116773,0.79359657,845967.0
TX-22,0.76353663,0.01615384,0.7320102,0.79618764,894651.0
TX-23,0.7808433,0.016729893,0.7470883,0.8136527,805994.0
TX-24,0.7562835,0.01596575,0.72496474,0.788565,772864.0
TX-25,0.7773938,0.015151354,0.74721426,0.80821687,826400.0
TX-26,0.7602977,0.015825514,0.72939545,0.79222333,884673.0
TX-27,0.7830031,0.016125917,0.7504155,0.8147247,794553.0
TX-28,0.78688556,0.017467767,0.75097954,0.82046807,828120.0
TX-29,0.78983086,0.017684123,0.7530004,0.82363915,785766.0
TX-30,0.7752244,0.016649233,0.74171185,0.8074304,788933.0
TX-31,0.77257144,0.015373116,0.7420963,0.80368054,901417.0
TX-32,0.76706845,0.015958894,0.73562634,0.7991176,766035.0
TX-33,0.786283,0.016856438,0.75158364,0.8190685,790800.0
TX-34,0.7885333,0.018636853,0.7501356,0.8244131,811032.0
TX-35,0.77763605,0.016130855,0.7454282,0.8094174,873186.0
TX-36,0.7838857,0.01538725,0.75313276,0.81459963,816135.0
TX-37,0.7449813,0.016557701,0.71266216,0.7782586,776146.0
TX-38,0.7612018,0.015931293,0.72992176,0.7932891,810767.0
UT-01,0.7421942,0.022743816,0.6923214,0.78446364,871885.0
UT-02,0.7452123,0.02256108,0.69595325,0.7868775,881182.0
UT-03,0.73465455,0.022963332,0.6844898,0.7774483,830265.0
UT-04,0.7457716,0.022765264,0.69598264,0.78828937,920858.0
VA-01,0.7579395,0.01798733,0.7195566,0.79288095,823755.0
VA-02,0.76640046,0.01772015,0.7292312,0.8010505,788036.0
VA-03,0.77307755,0.01838832,0.7353898,0.8086002,775311.0
VA-04,0.7683419,0.01839199,0.7305724,0.8040214,810530.0
VA-05,0.7705887,0.017538756,0.7335321,0.80424964,805289.0
VA-06,0.7765633,0.017349005,0.739765,0.8095745,797798.0
VA-07,0.7694118,0.017818866,0.73200876,0.80387074,825409.0
VA-08,0.742559,0.019042877,0.7029049,0.779549,788777.0
VA-09,0.7770884,0.017402923,0.73995703,0.81009716,789057.0
VA-10,0.7545232,0.018679833,0.7158304,0.7905426,821146.0
VA-11,0.7406015,0.01951369,0.70044273,0.77840173,792714.0
VT-00,0.7624301,0.022760106,0.7151119,0.8061752,648585.0
WA-01,0.72639346,0.022618195,0.6805268,0.7707354,810476.0
WA-02,0.7394737,0.02154824,0.695846,0.7807089,790108.0
WA-03,0.74937344,0.021350052,0.70619875,0.7898829,802801.0
WA-04,0.7547128,0.021950858,0.709628,0.7967856,795521.0
WA-05,0.7451892,0.021476537,0.70227623,0.7861489,801747.0
WA-06,0.7407902,0.021529805,0.6972748,0.78176725,800608.0
WA-07,0.7068604,0.023113111,0.6606895,0.7519817,815123.0
WA-08,0.7373491,0.021849701,0.69318837,0.77948844,794868.0
WA-09,0.73699635,0.022313617,0.6918251,0.7797791,776917.0
WA-10,0.7457494,0.021507997,0.70207244,0.7866939,777325.0
WI-01,0.7760113,0.01849701,0.7348153,0.8100432,739669.0
WI-02,0.7581698,0.01921945,0.7159686,0.7941075,763418.0
WI-03,0.7778176,0.018373635,0.73633385,0.81171083,740819.0
WI-04,0.77030927,0.019597052,0.7278427,0.80585146,722785.0
WI-05,0.7666038,0.018804984,0.72516716,0.80171716,750316.0
WI-06,0.77742124,0.018395185,0.7364006,0.8114032,742999.0
WI-07,0.7772513,0.018430794,0.7359315,0.8114776,754074.0
WI-08,0.7773213,0.01843325,0.73631513,0.8112876,747170.0
WV-01,0.7840822,0.01965928,0.74759966,0.8278143,881908.0
WV-02,0.78151214,0.019661378,0.7451731,0.825357,910606.0
WY-00,0.74663454,0.023919595,0.69721127,0.7934442,588050.0
