cd,estimate,sd,q025,q975,pop
MI-12,0.2551368,0.024940964,0.20731874,0.30463886,751670.0
MI-13,0.24765629,0.024719112,0.20017281,0.29656085,784586.0
MN-01,0.2615195,0.034209635,0.2060125,0.33705512,718068.0
MN-02,0.2741918,0.035155427,0.21671903,0.35116735,745975.0
MN-03,0.28933445,0.035977494,0.23031475,0.36716247,710629.0
MN-04,0.28275684,0.035751425,0.22372994,0.35986638,708457.0
MN-05,0.29105106,0.03644578,0.23039487,0.37003332,707252.0
MN-06,0.259798,0.03410591,0.20474742,0.33566383,755040.0
MN-07,0.25476924,0.03383127,0.19983327,0.3294718,722404.0
MN-08,0.25788698,0.033799794,0.20288996,0.33280516,727354.0
MO-01,0.27353406,0.026610209,0.22199567,0.32689324,743100.0
MO-02,0.23241296,0.022863021,0.1885669,0.27906838,773870.0
MO-03,0.21745601,0.021915868,0.17575374,0.26256427,799866.0
MO-04,0.20872949,0.02157961,0.1674394,0.25293094,784159.0
MO-05,0.2385251,0.023595031,0.193666,0.2860248,776461.0
MO-06,0.20929956,0.021584097,0.16846913,0.25363618,788849.0
MO-07,0.20718795,0.021421224,0.16647938,0.25150004,802980.0
MO-08,0.20729108,0.021543654,0.16617183,0.251186,781267.0
MS-01,0.21013083,0.029661523,0.1596884,0.27801248,753742.0
MS-02,0.25544527,0.034972545,0.19567357,0.33379963,694687.0
MS-03,0.22051308,0.030590864,0.16850862,0.28971472,734712.0
MS-04,0.20366715,0.029026717,0.15430942,0.27007213,759792.0
MT-01,0.23899089,0.034917492,0.17537864,0.31324318,579148.0
MT-02,0.22769135,0.034076832,0.16588682,0.3006524,558573.0
NC-01,0.22500063,0.024392547,0.18132386,0.27775353,753452.0
NC-02,0.22365808,0.02363852,0.18107226,0.27563986,790783.0
NC-03,0.20233807,0.022115223,0.16257839,0.25086728,775222.0
NC-04,0.2271776,0.023990696,0.18430012,0.27986744,804331.0
NC-05,0.19964516,0.021887437,0.1601826,0.2477743,755187.0
NC-06,0.20211604,0.022140337,0.16265538,0.25103173,794209.0
NC-07,0.20897909,0.022478657,0.16845192,0.2584567,805789.0
NC-08,0.20480959,0.02226478,0.16497181,0.25394902,788849.0
NC-09,0.20183632,0.022172268,0.16202302,0.25055784,790291.0
NC-10,0.20198154,0.022032976,0.1624536,0.25083753,787542.0
NC-11,0.19408599,0.02157955,0.15545444,0.24115947,770847.0
NC-12,0.22951369,0.024563579,0.1856033,0.2828928,801631.0
NC-13,0.2024255,0.022175806,0.16254607,0.25137314,835043.0
NC-14,0.19993219,0.021859625,0.16071413,0.24832337,792824.0
ND-00,0.19648352,0.029945437,0.13402551,0.25234458,796604.0
NE-01,0.2236617,0.031799335,0.16459632,0.29331893,672885.0
NE-02,0.23384868,0.032803483,0.17272764,0.30574456,682583.0
NE-03,0.21863805,0.03157459,0.16005294,0.28820214,650261.0
NH-01,0.23644932,0.03567643,0.17782885,0.31779522,709268.0
NH-02,0.23572606,0.035639912,0.1772324,0.31671244,700156.0
NJ-01,0.22874044,0.024738256,0.18168429,0.28098682,784107.0
NJ-02,0.22037423,0.02432115,0.17398596,0.27099842,794132.0
NJ-03,0.23399933,0.024970451,0.1859482,0.28574982,795592.0
NJ-04,0.21434613,0.023896877,0.16881754,0.26451808,795130.0
