cd,estimate,sd,q025,q975,pop
OH-02,0.86256903,0.013828615,0.83401823,0.8888154,812951.0
OH-03,0.85743093,0.01416548,0.8280179,0.884969,787293.0
OH-04,0.86106396,0.013669147,0.83293355,0.88729495,810074.0
OH-05,0.8629277,0.013520843,0.8354076,0.88886315,800333.0
OH-06,0.8617999,0.013692912,0.8334694,0.8878663,793305.0
OH-07,0.85750824,0.013736083,0.82914054,0.883986,789395.0
OH-08,0.8628142,0.013517911,0.8348415,0.88874644,791194.0
OH-09,0.86282927,0.013434359,0.83542526,0.88859785,776198.0
OH-10,0.86123794,0.013556227,0.8332024,0.8874162,790946.0
OH-11,0.86215025,0.014420297,0.8315356,0.8896078,759272.0
OH-12,0.86131513,0.0137465,0.83291376,0.8877324,812667.0
OH-13,0.85992587,0.013607996,0.83178645,0.8862648,784965.0
OH-14,0.86038536,0.013614906,0.8323743,0.8866916,785592.0
OH-15,0.8628202,0.0135182375,0.834859,0.8886562,822958.0
OK-01,0.87755877,0.012859195,0.8496278,0.900867,829496.0
OK-02,0.8778596,0.013512451,0.8485624,0.90264744,817506.0
OK-03,0.88072217,0.012882076,0.85285443,0.9040043,796982.0
OK-04,0.8786192,0.0127942925,0.85090053,0.9016896,819547.0
OK-05,0.8741648,0.012967712,0.8456192,0.8975155,836446.0
OR-01,0.8130634,0.019537143,0.7688825,0.84667087,717097.0
OR-02,0.82291853,0.019271705,0.77901334,0.8558505,704731.0
OR-03,0.8180629,0.01926269,0.7744272,0.8513294,700356.0
OR-04,0.8181134,0.019323701,0.77427655,0.8511486,713359.0
OR-05,0.8151098,0.0195366,0.7712514,0.8488706,717262.0
OR-06,0.8224986,0.019106809,0.7786918,0.8556269,721521.0
PA-01,0.8515532,0.015641477,0.8208195,0.8821857,768126.0
PA-02,0.86770564,0.015361543,0.837623,0.89709675,738511.0
PA-03,0.8549327,0.016748754,0.8212557,0.88687396,767660.0
PA-04,0.8492937,0.015793253,0.8184041,0.8801853,786156.0
PA-05,0.85447186,0.0156971,0.823553,0.8852598,768237.0
PA-06,0.8527992,0.015617841,0.82171303,0.8830715,795973.0
PA-07,0.8616063,0.015093539,0.83162093,0.89060795,788415.0
PA-08,0.8616741,0.015086985,0.8316877,0.89090234,773145.0
PA-09,0.85974926,0.015506115,0.8290435,0.88983995,797701.0
PA-10,0.85895604,0.0152464025,0.82875437,0.88866955,792544.0
PA-11,0.8591617,0.015401493,0.8284146,0.8893183,781872.0
PA-12,0.8519839,0.015565735,0.8214302,0.8826688,754674.0
PA-13,0.8586103,0.0156222265,0.82766247,0.88906085,792899.0
PA-14,0.85714763,0.015575306,0.8264004,0.88765997,767341.0
PA-15,0.85747683,0.015607457,0.8265842,0.88779706,778819.0
PA-16,0.85706306,0.0155015215,0.826404,0.88735795,758941.0
PA-17,0.85062873,0.015747854,0.8197691,0.881613,753367.0
RI-01,0.8545288,0.01697025,0.81666,0.88455665,556794.0
RI-02,0.8521237,0.017055025,0.81430167,0.88223165,556679.0
SC-01,0.8681318,0.013134173,0.84092987,0.8929403,797423.0
SC-02,0.8722556,0.012982384,0.84533435,0.8967364,764379.0
SC-03,0.87575626,0.01271322,0.84982276,0.8998786,766744.0
SC-04,0.87374294,0.012850378,0.8469547,0.8978749,810342.0
SC-05,0.8753859,0.012827936,0.8489129,0.89952725,782705.0
SC-06,0.8768664,0.013077227,0.84958583,0.9012337,762971.0
SC-07,0.8755408,0.012731617,0.8491047,0.89952266,794116.0
SD-00,0.8580322,0.016009144,0.82341886,0.8862093,924668.0
TN-01,0.8740462,0.012696612,0.8465187,0.8969531,806544.0
TN-02,0.871191,0.012718908,0.8438153,0.89443237,813874.0
TN-03,0.8745652,0.012486691,0.84743166,0.89734405,809822.0
TN-04,0.8760784,0.012546413,0.8487416,0.89896464,826459.0
TN-05,0.8679095,0.01300278,0.84021544,0.8915337,835178.0
TN-06,0.8742539,0.012575043,0.84690595,0.897224,803126.0
TN-07,0.8732059,0.012566699,0.84613174,0.8960369,816221.0
TN-08,0.87290007,0.012660093,0.8451516,0.89544904,774949.0
TN-09,0.8789225,0.01383946,0.8493781,0.903465,749913.0
TX-01,0.87932754,0.011340842,0.85627306,0.9001183,795914.0
TX-02,0.87829524,0.011727099,0.85401565,0.8996135,882044.0
TX-03,0.8699566,0.01218548,0.84462965,0.8928945,920586.0
TX-04,0.8723777,0.01190352,0.8477873,0.894487,874620.0
TX-05,0.8831802,0.011577078,0.859317,0.9044838,856420.0
TX-06,0.88342136,0.01155441,0.8594586,0.90451354,848544.0
TX-07,0.87513053,0.012514328,0.8490984,0.8984019,770248.0
TX-08,0.8793812,0.011706137,0.85511714,0.9007287,946784.0
TX-09,0.8836019,0.012469193,0.8580344,0.9061037,822784.0
TX-10,0.87397903,0.011644693,0.8498735,0.8956553,832966.0
TX-11,0.88521665,0.011753631,0.8604956,0.9067401,801997.0
TX-12,0.8787876,0.011376075,0.85551137,0.8995577,852228.0
TX-13,0.8814544,0.01138618,0.85790986,0.9024505,799821.0
TX-14,0.88158846,0.011318297,0.8582814,0.9023185,787853.0
TX-15,0.89264935,0.014271996,0.8632717,0.9191569,812529.0
TX-16,0.8916162,0.014446963,0.86239564,0.9186269,784152.0
TX-17,0.88044995,0.0113020195,0.8570101,0.90119326,798332.0
TX-18,0.8862351,0.0121986475,0.86091006,0.9082693,825562.0
TX-19,0.8840004,0.011620555,0.8596711,0.9052673,787118.0
TX-20,0.8908471,0.013405501,0.8633004,0.9156107,766762.0
TX-21,0.8712563,0.011884257,0.84683764,0.8933753,845967.0
TX-22,0.8741678,0.0123172,0.84877884,0.8969701,894651.0
TX-23,0.8873289,0.012928404,0.8606685,0.91101146,805994.0
TX-24,0.8672664,0.012151289,0.8420439,0.8899672,772864.0
TX-25,0.8785938,0.011351115,0.85537153,0.8994706,826400.0
TX-26,0.8708581,0.011971305,0.8460684,0.8933218,884673.0
TX-27,0.88623226,0.012331952,0.8606057,0.90869445,794553.0
TX-28,0.8919335,0.01370188,0.86391646,0.9172822,828120.0
TX-29,0.8942514,0.013794316,0.8657002,0.91950417,785766.0
TX-30,0.88265187,0.012192244,0.85741216,0.90496033,788933.0
TX-31,0.87671036,0.011587477,0.8527603,0.8978876,901417.0
TX-32,0.8778609,0.011924715,0.853035,0.89970267,766035.0
TX-33,0.8908448,0.012802161,0.8642211,0.9141544,790800.0
TX-34,0.89463735,0.015018245,0.86394584,0.9225632,811032.0
TX-35,0.8854008,0.012206051,0.85958105,0.9076711,873186.0
TX-36,0.8843311,0.011524251,0.8602763,0.9055617,816135.0
TX-37,0.8655581,0.012550838,0.8395399,0.8890634,776146.0
TX-38,0.8722692,0.012086057,0.84723234,0.89475644,810767.0
UT-01,0.8232239,0.018960271,0.78303415,0.85732126,871885.0
UT-02,0.82647175,0.018632632,0.7871541,0.85999656,881182.0
UT-03,0.8186421,0.019124517,0.7782072,0.8529618,830265.0
UT-04,0.82774913,0.018888826,0.78743774,0.86178976,920858.0
VA-01,0.8659214,0.013020702,0.8386205,0.89058834,823755.0
VA-02,0.8722207,0.012642001,0.8456201,0.8962841,788036.0
VA-03,0.87767446,0.0128874825,0.8503324,0.9019886,775311.0
VA-04,0.8747087,0.012892532,0.8475467,0.8991558,810530.0
VA-05,0.8717666,0.012606692,0.8458789,0.8958498,805289.0
VA-06,0.87462246,0.012501147,0.84870917,0.89851385,797798.0
VA-07,0.87575144,0.012626345,0.8489454,0.8998312,825409.0
VA-08,0.86323804,0.013698099,0.8341568,0.8893649,788777.0
VA-09,0.87376034,0.012656624,0.8476406,0.8979054,789057.0
VA-10,0.8682102,0.0135044595,0.8394874,0.8937876,821146.0
VA-11,0.8612223,0.014202341,0.831464,0.8882211,792714.0
VT-00,0.8445049,0.018505769,0.8053494,0.87834907,648585.0
WA-01,0.8175503,0.01866584,0.7784517,0.8527038,810476.0
WA-02,0.8224968,0.017745394,0.78604203,0.8560205,790108.0
WA-03,0.8277374,0.017733175,0.79170954,0.86136955,802801.0
WA-04,0.83778125,0.017938828,0.8000814,0.8704255,795521.0
WA-05,0.82434577,0.017919382,0.78789115,0.8587058,801747.0
WA-06,0.8223961,0.017832061,0.7859068,0.85627854,800608.0
WA-07,0.80619127,0.018992845,0.766505,0.8422356,815123.0
WA-08,0.8217457,0.018091934,0.784307,0.8557683,794868.0
WA-09,0.82552946,0.01842443,0.78709906,0.8599978,776917.0
WA-10,0.8283232,0.017697172,0.7916813,0.86183053,777325.0
WI-01,0.85945743,0.014583872,0.8277805,0.8847132,739669.0
WI-02,0.84892434,0.015300912,0.8156575,0.8759272,763418.0
WI-03,0.8576856,0.014705623,0.825815,0.8832848,740819.0
WI-04,0.86004144,0.015251419,0.82739294,0.88649637,722785.0
WI-05,0.85201716,0.015037315,0.819766,0.8781092,750316.0
WI-06,0.8579917,0.014673372,0.8260955,0.8835957,742999.0
WI-07,0.8570238,0.014777802,0.82470655,0.88283813,754074.0
WI-08,0.85841846,0.014667207,0.8267246,0.88391095,747170.0
WV-01,0.8754096,0.013905806,0.8467531,0.90211487,881908.0
WV-02,0.87467206,0.013829848,0.8462753,0.9015388,910606.0
WY-00,0.82470906,0.019557988,0.7843991,0.86101764,588050.0
