cd,estimate,sd,q025,q975,pop
WA-01,0.80812156,0.022257509,0.7596636,0.84775364,810476.0
WA-02,0.82228214,0.020382136,0.7774974,0.85793614,790108.0
WA-03,0.83215827,0.019800974,0.7888502,0.86708486,802801.0
WA-04,0.81089085,0.022704331,0.7606539,0.8508279,795521.0
WA-05,0.83649755,0.019479657,0.7939979,0.8707441,801747.0
WA-06,0.82783383,0.020052223,0.78395706,0.8630309,800608.0
WA-07,0.81527317,0.021103695,0.769529,0.85286295,815123.0
WA-08,0.8185371,0.020940153,0.7725796,0.8555956,794868.0
WA-09,0.786993,0.024089482,0.73531836,0.8294864,776917.0
WA-10,0.8178974,0.020981796,0.7716862,0.8550738,777325.0
WI-01,0.821111,0.021399815,0.7704924,0.8552528,739669.0
WI-02,0.8254226,0.020867342,0.7767369,0.8587131,763418.0
WI-03,0.8366254,0.020028774,0.7898598,0.8683705,740819.0
WI-04,0.78119105,0.025627738,0.7226249,0.8236026,722785.0
WI-05,0.82878673,0.020600548,0.7809526,0.86165744,750316.0
WI-06,0.83157015,0.020452593,0.7837841,0.86408985,742999.0
WI-07,0.83472955,0.020248609,0.78772384,0.866829,754074.0
WI-08,0.83187956,0.020479063,0.7842401,0.86444014,747170.0
WV-01,0.8575076,0.020208482,0.81847715,0.8991621,881908.0
WV-02,0.85810417,0.020038763,0.81912994,0.89949036,910606.0
WY-00,0.84433424,0.02200034,0.7966176,0.8857463,588050.0
