cd,estimate,sd,q025,q975,pop
NJ-06,0.76665276,0.025928713,0.71284294,0.8150731,786852.0
NJ-07,0.7658523,0.025451394,0.71305823,0.81396186,789395.0
NJ-08,0.7718299,0.026739312,0.715157,0.82159704,780400.0
NJ-09,0.7755563,0.02601095,0.7209602,0.82384515,772304.0
NJ-10,0.73561704,0.029194662,0.6751735,0.7900865,800235.0
NJ-11,0.7609431,0.025870096,0.70775735,0.8095628,800047.0
NJ-12,0.75624317,0.026852058,0.70008516,0.80644554,808411.0
NM-01,0.74351364,0.032420393,0.6767776,0.8049493,714162.0
NM-02,0.75657445,0.032562993,0.6893306,0.817473,711443.0
NM-03,0.7603481,0.03139465,0.69451326,0.81997055,739622.0
NV-01,0.7556223,0.03323877,0.6839046,0.8169001,793572.0
NV-02,0.7650364,0.03194263,0.69561166,0.8236645,802958.0
NV-03,0.75209785,0.033058733,0.680032,0.8136798,840861.0
NV-04,0.7512093,0.03366114,0.67799366,0.8134923,833068.0
NY-01,0.76266456,0.022440791,0.71711224,0.8040743,782048.0
NY-02,0.7668654,0.022827348,0.720488,0.8087797,777587.0
NY-03,0.75136256,0.023789207,0.70323896,0.796067,775762.0
NY-04,0.7428224,0.023639012,0.6949195,0.7867966,777460.0
NY-05,0.7283029,0.025463123,0.676392,0.7765862,767073.0
NY-06,0.7642818,0.025420047,0.7112614,0.8114769,726983.0
NY-07,0.77001935,0.022870217,0.72348773,0.81289464,778244.0
NY-08,0.73052603,0.02519961,0.6798118,0.7779776,739419.0
NY-09,0.7319367,0.024769587,0.681708,0.77862644,711715.0
NY-10,0.7609824,0.023065891,0.71426105,0.8037855,757268.0
NY-11,0.7724351,0.022513995,0.7268183,0.81405693,759700.0
NY-12,0.734304,0.024269352,0.68532026,0.77969396,754444.0
NY-13,0.73849225,0.02561125,0.68572074,0.78640175,747658.0
NY-14,0.7595827,0.024808249,0.70851225,0.8054447,737479.0
NY-15,0.7405558,0.026476339,0.6866078,0.78972936,754452.0
NY-16,0.733897,0.02434711,0.6846154,0.77919716,773498.0
NY-17,0.75808877,0.022915894,0.7116472,0.8002756,783178.0
NY-18,0.7678987,0.022311576,0.7226453,0.80899423,791197.0
NY-19,0.7773924,0.021528168,0.7332436,0.8169812,776407.0
NY-20,0.76627886,0.022103647,0.7208878,0.8070091,790819.0
NY-21,0.7900464,0.02100191,0.74683994,0.8282207,767818.0
NY-22,0.7738234,0.021798972,0.7294704,0.8136178,765333.0
NY-23,0.7862954,0.02122185,0.74266666,0.8247361,773659.0
NY-24,0.79014504,0.021003976,0.74692976,0.8282594,772842.0
NY-25,0.7619186,0.022487616,0.71634626,0.8030233,768543.0
NY-26,0.76611567,0.022226721,0.7208948,0.8069744,760763.0
OH-01,0.7814177,0.02378723,0.7362713,0.8295398,809812.0
OH-02,0.8162982,0.021293787,0.7753328,0.8599481,812951.0
OH-03,0.7724968,0.02471534,0.7261164,0.8220793,787293.0
